axis,drop_rate_ci,drop_rate_mean,drop_rate_sd,effect_drop,effect_p95,effect_throughput,effect_trips,files,p95_s_ci,p95_s_mean,p95_s_sd,point,repeats,stage,stuck_fraction_ci,stuck_fraction_mean,stuck_fraction_sd,success_ci,success_mean,success_sd,throughput_per_min_ci,throughput_per_min_mean,throughput_per_min_sd,trips_per_arm_hour_ci,trips_per_arm_hour_mean,trips_per_arm_hour_sd,value
pad_friction_scale,[NaN;NaN],0.0076971412636339664,nan,{"delta":0.003372364677488804;"rel":0.7797777781845421;"mean_ref":0.004324776586145163;"mean":0.0076971412636339664;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1.2199989557266235;"rel":0.8356161788649816;"mean_ref":1.4599992036819458;"mean":2.6799981594085693;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-20.80078125;"rel":-0.36895894682141;"mean_ref":56.376953125;"mean":35.576171875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":3.515625;"rel":3.0;"mean_ref":1.171875;"mean":4.6875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["pad_friction_scale__0p6__r0.json"],[NaN;NaN],2.6799981594085693,nan,pad_friction_scale__0p6,1,s1,[NaN;NaN],0.16931316256523132,nan,[NaN;NaN],0.9724043607711792,nan,[NaN;NaN],35.576171875,nan,[NaN;NaN],4.6875,nan,0.6
pad_friction_scale,[NaN;NaN],0.0058679040521383286,nan,{"delta":0.001543127465993166;"rel":0.3568109092471327;"mean_ref":0.004324776586145163;"mean":0.0058679040521383286;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.25999975204467773;"rel":0.17808211907855087;"mean_ref":1.4599992036819458;"mean":1.7199989557266235;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-3.8867149353027344;"rel":-0.06894155714100121;"mean_ref":56.376953125;"mean":52.490238189697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":2.34375;"rel":2.0;"mean_ref":1.171875;"mean":3.515625;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["pad_friction_scale__0p8__r0.json"],[NaN;NaN],1.7199989557266235,nan,pad_friction_scale__0p8,1,s1,[NaN;NaN],0.027568358927965164,nan,[NaN;NaN],0.996838390827179,nan,[NaN;NaN],52.490238189697266,nan,[NaN;NaN],3.515625,nan,0.8
pad_friction_scale,[NaN;NaN],0.0046400451101362705,nan,{"delta":0.00031526852399110794;"rel":0.0728982220725808;"mean_ref":0.004324776586145163;"mean":0.0046400451101362705;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-0.039999961853027344;"rel":-0.027397249089007827;"mean_ref":1.4599992036819458;"mean":1.4199992418289185;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.4785194396972656;"rel":0.008487855642646805;"mean_ref":56.376953125;"mean":56.855472564697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":5.859375;"rel":5.0;"mean_ref":1.171875;"mean":7.03125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["pad_friction_scale__1p2__r0.json"],[NaN;NaN],1.4199992418289185,nan,pad_friction_scale__1p2,1,s1,[NaN;NaN],0.005221353843808174,nan,[NaN;NaN],0.9993129372596741,nan,[NaN;NaN],56.855472564697266,nan,[NaN;NaN],7.03125,nan,1.2
servo_damping_scale,[NaN;NaN],0.000506756769027561,nan,{"delta":-0.0038180198171176016;"rel":-0.8828247519996744;"mean_ref":0.004324776586145163;"mean":0.000506756769027561;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.019999980926513672;"rel":0.013698624544503914;"mean_ref":1.4599992036819458;"mean":1.4799991846084595;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-52.35351514816284;"rel":-0.9286332844572796;"mean_ref":56.376953125;"mean":4.023437976837158;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":6273.6328125;"rel":5353.5;"mean_ref":1.171875;"mean":6274.8046875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["servo_damping_scale__0p5__r0.json"],[NaN;NaN],1.4799991846084595,nan,servo_damping_scale__0p5,1,s1,[NaN;NaN],0.0011881510727107525,nan,[NaN;NaN],0.9951691031455994,nan,[NaN;NaN],4.023437976837158,nan,[NaN;NaN],6274.8046875,nan,0.5
servo_damping_scale,[NaN;NaN],0.006210359279066324,nan,{"delta":0.0018855826929211617;"rel":0.435995398921139;"mean_ref":0.004324776586145163;"mean":0.006210359279066324;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.1729978322982788;"rel":0.11849173058587886;"mean_ref":1.4599992036819458;"mean":1.6329970359802246;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-2.9785118103027344;"rel":-0.052832081998094575;"mean_ref":56.376953125;"mean":53.398441314697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":210.93751525878906;"rel":180.00001302083334;"mean_ref":1.171875;"mean":212.10939025878906;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["servo_damping_scale__0p75__r0.json"],[NaN;NaN],1.6329970359802246,nan,servo_damping_scale__0p75,1,s1,[NaN;NaN],0.007633463479578495,nan,[NaN;NaN],0.9983540773391724,nan,[NaN;NaN],53.398441314697266,nan,[NaN;NaN],212.10939025878906,nan,0.75
servo_damping_scale,[NaN;NaN],0.00939340889453888,nan,{"delta":0.005068632308393717;"rel":1.1719986471975379;"mean_ref":0.004324776586145163;"mean":0.00939340889453888;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.07999992370605469;"rel":0.054794498178015655;"mean_ref":1.4599992036819458;"mean":1.5399991273880005;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-3.7109336853027344;"rel":-0.06582359421011606;"mean_ref":56.376953125;"mean":52.666019439697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.0;"rel":0.0;"mean_ref":1.171875;"mean":1.171875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["servo_damping_scale__1p5__r0.json"],[NaN;NaN],1.5399991273880005,nan,servo_damping_scale__1p5,1,s1,[NaN;NaN],0.009755859151482582,nan,[NaN;NaN],0.9981457591056824,nan,[NaN;NaN],52.666019439697266,nan,[NaN;NaN],1.171875,nan,1.5
servo_damping_scale,[NaN;NaN],0.012873980216681957,nan,{"delta":0.008549203630536795;"rel":1.9767965952102566;"mean_ref":0.004324776586145163;"mean":0.012873980216681957;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.19999980926513672;"rel":0.13698624544503915;"mean_ref":1.4599992036819458;"mean":1.6599990129470825;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-8.925777435302734;"rel":-0.15832316115970899;"mean_ref":56.376953125;"mean":47.451175689697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1.757812738418579;"rel":1.5000002034505209;"mean_ref":1.171875;"mean":2.929687738418579;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["servo_damping_scale__2__r0.json"],[NaN;NaN],1.6599990129470825,nan,servo_damping_scale__2,1,s1,[NaN;NaN],0.025738932192325592,nan,[NaN;NaN],0.9975308775901794,nan,[NaN;NaN],47.451175689697266,nan,[NaN;NaN],2.929687738418579,nan,2.0
table_friction_scale,[NaN;NaN],0.003307607490569353,nan,{"delta":-0.0010171690955758095;"rel":-0.2351957552754074;"mean_ref":0.004324776586145163;"mean":0.003307607490569353;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-0.059999942779541016;"rel":-0.04109587363351174;"mean_ref":1.4599992036819458;"mean":1.3999992609024048;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1.1230506896972656;"rel":0.019920386389225705;"mean_ref":56.376953125;"mean":57.500003814697266;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":1.171875;"rel":1.0;"mean_ref":1.171875;"mean":2.34375;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["table_friction_scale__0p6__r0.json"],[NaN;NaN],1.3999992609024048,nan,table_friction_scale__0p6,1,s1,[NaN;NaN],0.00911783892661333,nan,[NaN;NaN],0.9991509318351746,nan,[NaN;NaN],57.500003814697266,nan,[NaN;NaN],2.34375,nan,0.6
table_friction_scale,[NaN;NaN],0.004660726524889469,nan,{"delta":0.00033594993874430656;"rel":0.07768029909812092;"mean_ref":0.004324776586145163;"mean":0.004660726524889469;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-0.059999942779541016;"rel":-0.04109587363351174;"mean_ref":1.4599992036819458;"mean":1.3999992609024048;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.791015625;"rel":0.014030833188983198;"mean_ref":56.376953125;"mean":57.16796875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":2.34375;"rel":2.0;"mean_ref":1.171875;"mean":3.515625;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["table_friction_scale__0p8__r0.json"],[NaN;NaN],1.3999992609024048,nan,table_friction_scale__0p8,1,s1,[NaN;NaN],0.004082031548023224,nan,[NaN;NaN],0.9991458654403687,nan,[NaN;NaN],57.16796875,nan,[NaN;NaN],3.515625,nan,0.8
table_friction_scale,[NaN;NaN],0.00542344618588686,nan,{"delta":0.0010986695997416973;"rel":0.2540407759469913;"mean_ref":0.004324776586145163;"mean":0.00542344618588686;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.1399998664855957;"rel":0.0958903718115274;"mean_ref":1.4599992036819458;"mean":1.5999990701675415;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":-1.58203125;"rel":-0.028061666377966397;"mean_ref":56.376953125;"mean":54.794921875;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},{"delta":0.5859375;"rel":0.5;"mean_ref":1.171875;"mean":1.7578125;"n_ref":1;"n":1;"se":NaN;"lo":NaN;"hi":NaN;"cohens_d":NaN;"separated":null},["table_friction_scale__1p3__r0.json"],[NaN;NaN],1.5999990701675415,nan,table_friction_scale__1p3,1,s1,[NaN;NaN],0.009720051661133766,nan,[NaN;NaN],0.9983959794044495,nan,[NaN;NaN],54.794921875,nan,[NaN;NaN],1.7578125,nan,1.3
